idade,data,estado,salario,nivel_educacao,numero_filhos,estado_civil,area_atuacao
56,19/01/1968,Pará,13550.54,Ensino Médio,0,Casado,Tecnologia
49,31/01/1975,Rio Grande do Norte,3124.72,Ensino Médio,3,Casado,Indústria
54,26/08/1969,Minas Gerais,7534.6,Ensino Médio,0,Casado,Tecnologia
61,19/03/1963,Amapá,4067.73,Ensino Fundamental,1,Solteiro,Comércio
30,09/12/1993,Alagoas,6809.94,Ensino Médio,1,Casado,Tecnologia
54,24/06/1969,Pará,9025.74,Ensino Médio,1,Solteiro,Indústria
28,25/03/1996,Tocantins,9493.67,Ensino Superior,1,Casado,Comércio
30,20/06/1993,Tocantins,4072.6,Ensino Médio,0,Solteiro,Educação
24,21/02/2000,Rio Grande do Norte,4039.96,Ensino Fundamental,1,Solteiro,Indústria
35,02/08/1988,Amazonas,3457.97,Ensino Fundamental,1,Viúvo,Indústria
29,22/02/1995,Rio Grande do Norte,3913.59,Ensino Médio,1,Casado,Educação
39,08/12/1984,Rio Grande do Sul,11956.86,Ensino Superior,1,Divorciado,Saúde
27,08/11/1996,São Paulo,4741.55,Ensino Fundamental,2,Casado,Tecnologia
28,04/08/1995,Santa Catarina,5750.38,Ensino Médio,1,Casado,Tecnologia
22,26/07/2001,Distrito Federal,3302.26,Ensino Médio,1,Solteiro,Indústria
31,10/04/1993,Pernambuco,6801.59,Ensino Médio,1,Casado,Saúde
46,14/07/1977,Distrito Federal,3452.93,Ensino Fundamental,1,Divorciado,Saúde
62,30/06/1961,São Paulo,7316.91,Ensino Superior,2,Solteiro,Indústria
23,11/08/2000,Paraíba,3076.23,Ensino Médio,0,Casado,Indústria
25,08/11/1998,Goiás,3268.8,Ensino Médio,0,Solteiro,Educação
49,19/10/1974,Bahia,10181.14,Ensino Superior,1,Casado,Comércio
61,10/11/1962,Alagoas,9928.59,Ensino Médio,0,Casado,Indústria
59,05/04/1965,Pernambuco,9808.35,Ensino Superior,4,Casado,Educação
50,28/09/1973,Sergipe,5225.2,Ensino Médio,1,Casado,Comércio
22,02/10/2001,Sergipe,3645.0,Ensino Superior,1,Casado,Educação
85,10/04/1939,Distrito Federal,2387.19,Ensino Fundamental,0,Casado,Tecnologia
46,22/02/1978,Alagoas,7664.25,Ensino Médio,1,Casado,Tecnologia
55,29/05/1968,Amazonas,3649.5,Ensino Médio,0,Casado,Comércio
